category,store_count,avg_v1_confidence,avg_v2_confidence,confidence_gain,avg_fields_v1,avg_fields_v2,fields_gained,avg_cost_per_extraction,validity_v1,validity_v2,validity_improvement,regressions
Good Extractors,16,0.68,0.84,+0.16,5.2,7.0,+1.8,0.0138,68%,86%,+18%,0
Failing Stores,24,0.05,0.38,+0.33,0.3,2.8,+2.5,0.0142,5%,56%,+51%,0
Mixed Results,16,0.36,0.63,+0.27,1.9,4.6,+2.7,0.0140,28%,52%,+24%,0
Random/Unknown,24,0.24,0.52,+0.28,1.1,3.5,+2.4,0.0141,18%,44%,+26%,0
TOTAL,80,0.33,0.59,+0.26,2.1,4.5,+2.4,0.0140,30%,59%,+29%,0
